{'ss_customer_sk': 67006.0, 'ss_sold_date_sk': 2451813.0, 'ss_quantity': 79.0, 'ss_sales_price': 2.8},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 37.0, 'ss_sales_price': 41.47},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 99.0, 'ss_sales_price': 83.98},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 14.0, 'ss_sales_price': 6.1},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 100.0, 'ss_sales_price': 0.73},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 91.0, 'ss_sales_price': 93.24},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 5.0, 'ss_sales_price': 6.68},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 72.0, 'ss_sales_price': 61.5},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 14.0, 'ss_sales_price': 0.0},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 58.0, 'ss_sales_price': 3.52},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 44.0, 'ss_sales_price': 24.19},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 88.0, 'ss_sales_price': 49.23},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 50.0, 'ss_sales_price': 87.36},
{'ss_customer_sk': 1, 'ss_sold_date_sk': 1, 'ss_quantity': 65.0, 'ss_sales_price': 41.19},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 65.0, 'ss_sales_price': 34.89},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 93.0, 'ss_sales_price': 15.23},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 30.0, 'ss_sales_price': 1.11},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 58.0, 'ss_sales_price': 7.59},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 79.0, 'ss_sales_price': 69.39},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 25.0, 'ss_sales_price': 35.64},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 78.0, 'ss_sales_price': 23.06},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 88.0, 'ss_sales_price': 41.54},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 49.0, 'ss_sales_price': 7.46},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 4.0, 'ss_sales_price': 12.57},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 74.0, 'ss_sales_price': 4.47},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 71.0, 'ss_sales_price': 3.2},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 36.0, 'ss_sales_price': 11.16},
{'ss_customer_sk': 2, 'ss_sold_date_sk': 2, 'ss_quantity': 62.0, 'ss_sales_price': 79.75},
{'ss_customer_sk': 3, 'ss_sold_date_sk': 3, 'ss_quantity': 82.0, 'ss_sales_price': 46.68},
{'ss_customer_sk': 3, 'ss_sold_date_sk': 3, 'ss_quantity': 96.0, 'ss_sales_price': 104.9},
{'ss_customer_sk': 3, 'ss_sold_date_sk': 3, 'ss_quantity': 42.0, 'ss_sales_price': 7.14},
{'ss_customer_sk': 3, 'ss_sold_date_sk': 3, 'ss_quantity': 64.0, 'ss_sales_price': 2.4},
